Cluster,Biden Votes Weighted,Trump Votes Weighted
0,277271.1906203418,139478.11294457194
1,181945.45564703006,209401.19981793157
2,152791.33476625054,203924.54425802748
3,215621.24513701277,206755.28915161846
4,290236.11507228273,166463.037885906
5,297908.18332134373,178888.34254702926
6,113691.68843480936,266973.163962519
7,168939.15643226568,166462.28988156747
8,117789.26583756787,181763.64567287872
9,164672.15934234968,173808.8471332258
10,187028.92188343132,226626.15644248985
11,219246.62502346875,192435.22292575004
12,141233.44755757318,218415.1016777372
13,155917.21092427222,227378.04569874707
