Cluster,Biden Votes Weighted,Trump Votes Weighted
0,182231.29294270749,210189.97534542752
1,299044.35906269617,128267.16901353093
2,161525.24031155356,160103.05404183
3,164881.49051815338,176824.55970062333
4,268479.77275454486,179995.99086825663
5,114092.00630031081,179486.9517348111
6,190355.1562707662,220526.38704647173
7,281157.5322251037,179737.56210948466
8,124833.02374264803,257540.74790714885
9,208713.18393040757,182368.67286685677
10,199892.91885556263,201222.2993317855
11,215529.40723309992,213814.2890087816
12,154059.58653802078,201338.26256807515
13,119497.02931442458,267357.07845691603
