Cluster,Biden Votes Weighted,Trump Votes Weighted
0,314116.1092550218,134014.87089164174
1,184782.49230710167,184825.26854247865
2,148850.2278456351,207497.26776157581
3,277368.788867728,161465.5189130716
4,109810.58826613272,260406.72383598055
5,167912.22058365677,227291.84998484087
6,157374.2382718168,229173.8675341932
7,218882.60932109848,186147.67572001924
8,306368.623072006,193541.39565900824
9,138897.31421073858,195253.74476553453
10,160739.52332540907,204869.9019843616
11,165137.73029974522,209038.55018478035
12,180844.75322497837,207049.9867285997
13,153206.78114893107,158196.37749391366
