Cluster,Biden Votes Weighted,Trump Votes Weighted
0,265540.38006756746,144219.09565351237
1,182024.8611685797,209605.38197274882
2,175755.69492271286,175198.54120874955
3,252777.75406367093,184364.78980862128
4,128433.4747801687,225998.8496589667
5,217842.13656138905,199535.7548832845
6,285904.042438841,172848.77356116657
7,153437.67716325278,212038.5053454405
8,136734.1544715802,194712.1198042217
9,163805.3715099991,171015.86023616788
10,203615.2109286802,216903.94428845556
11,114896.12629901839,267328.37439011974
12,253389.95870047194,157333.94022416283
13,150135.1569240674,227669.06896438182
