Cluster,Biden Votes Weighted,Trump Votes Weighted
0,297838.2886901726,126032.07120945511
1,129351.89119164801,191582.59095757807
2,182543.06965080803,211021.59285935556
3,120999.9825777234,257940.98493979473
4,204128.81783569246,219508.98843648707
5,230958.18933059424,157499.1889523261
6,166594.81981157325,177482.25214678378
7,121676.84863733998,266174.5864527153
8,190343.65888307284,220292.2951097981
9,199064.6991964541,202422.6437102852
10,174339.95635346157,166633.37597612137
11,218894.0782342416,178380.58472686863
12,294848.06971568475,174598.79838282132
13,152709.62989153288,209203.04613960948
