Cluster,Biden Votes Weighted,Trump Votes Weighted
0,215934.35870028607,208242.49782759772
1,118647.8961733225,181949.84294816674
2,120233.92522038074,280523.9222957784
3,184274.82108741312,214790.0946255299
4,218755.43992698035,192479.19750091992
5,275446.69082340255,140136.54191004933
6,159042.2205560276,202889.44281404157
7,299687.8163068901,177134.69404591498
8,163920.18151224524,172565.42289348564
9,192154.1537530665,212497.88566200735
10,261444.58905581624,176975.98467170808
11,154570.35417485237,229056.0399780844
12,152529.45914632693,204215.17751369198
13,167650.09356298932,165316.25531302375
