Cluster,Biden Votes Weighted,Trump Votes Weighted
0,124855.73108724058,257191.82811254825
1,161153.59215602197,159695.2054045597
2,299731.24463090167,128491.31549462542
3,199899.24030515485,201350.9632289214
4,182271.74173601024,210282.4631350548
5,153770.27362131947,200892.0757459907
6,190992.21317599787,220970.2515627962
7,216469.83285825574,214251.06559000726
8,268550.29907053127,179397.4479129105
9,164826.93159734292,176779.79941579484
10,113886.6492904747,179375.64082254836
11,119530.67657959352,267670.26016391825
12,280429.2444441738,179761.11340823956
13,207924.32944698102,182663.57000208454
