Cluster,Biden Votes Weighted,Trump Votes Weighted
0,199899.47898129848,155053.5267130811
1,223173.83318236555,208552.07512406856
2,148402.78130741857,230893.75633150342
3,163449.34619134973,171986.94519374182
4,128144.91567715646,180468.6817580686
5,272507.24016360013,180376.0934823789
6,182336.203958642,210363.98119499278
7,121014.26493016456,234205.73190369108
8,117867.07023032296,269206.4660297531
9,146275.49713952225,202242.68652707431
10,283393.2851261635,141147.35224402355
11,224591.64234926732,194741.8058796499
12,319847.34157203307,180978.88234976123
13,153389.09919069507,198555.01526821143
