Cluster,Biden Votes Weighted,Trump Votes Weighted
0,149519.99506641517,230060.8317947288
1,275271.1489943963,140630.09601625626
2,117386.98809990108,180290.2357776464
3,169821.34096659924,167270.4687084442
4,222538.6022269538,198824.45593726935
5,151568.10789809685,203307.60238991881
6,116945.14772843893,268357.90593894146
7,214747.9078137207,211460.493241013
8,182188.8198708748,210043.70328791477
9,219930.0805998267,192233.2258614896
10,278588.4916973981,176715.98856655214
11,123850.61546981616,230884.91602124312
12,298469.37913896993,177247.98159722865
13,163465.37442859187,171445.09486135328
