Cluster,Biden Votes Weighted,Trump Votes Weighted
0,118214.96496328445,202065.54295750288
1,154539.57892561206,161538.22919598196
2,169963.37656504175,195471.74065325025
3,256539.74302621646,178482.5492024527
4,164030.38268008048,207558.63754654644
5,166756.17545876664,228192.50183987938
6,316796.0854346668,136791.89476214562
7,105406.12708768337,253914.30651573685
8,150117.86965640576,209285.2682212098
9,191607.22388243143,189061.67290746132
10,313792.1441548608,196563.81807308138
11,216309.86239190743,183107.20939822597
12,180137.1396431294,211257.73394086762
13,180081.32612991286,205481.89478565767
