Cluster,Biden Votes Weighted,Trump Votes Weighted
0,148961.1776482378,207672.90577246263
1,318925.66733250936,135856.31837132716
2,119589.03652832992,251903.49372339027
3,250602.59487012099,189128.51827608913
4,186206.62615528508,185568.41703825493
5,180886.73039938897,207244.36402307634
6,308501.7724341527,195265.804416242
7,117907.17054936002,196436.37408872365
8,115120.97312237158,260475.28135436418
9,187578.0237967128,208822.27873383142
10,237774.98489425256,180433.9596481203
11,161398.3185709463,205533.31525151717
12,153103.30537133725,159983.35582597958
13,197735.6183269943,174448.61347662105
