Cluster,Biden Votes Weighted,Trump Votes Weighted
0,153785.8494343283,200906.98337412765
1,269098.8192713441,179712.88719094062
2,119545.0397809741,267722.3424346481
3,280513.55629573215,179810.7191637292
4,161355.2233633843,159899.03856217538
5,190854.55045869303,220690.4995911292
6,200011.0757514404,201611.33085102736
7,113900.07272312768,179400.73770868743
8,124875.13657591374,257177.74852642545
9,298549.97324390314,127744.52782627178
10,182269.61547134636,210276.66950027112
11,216333.17012127943,214127.8500654672
12,208394.5323223442,182927.21702094094
13,164805.38518618877,176764.4481841584
