Cluster,Biden Votes Weighted,Trump Votes Weighted
0,292265.281725066,130949.99796886841
1,125674.67407524219,256610.862421732
2,182264.7959381082,210263.53726142808
3,152632.55040993931,209219.2633036515
4,219894.71189165502,180989.6086505256
5,213387.39598487163,213060.99265117056
6,119495.26745914826,267480.6212812332
7,282607.8123042804,180395.1426553554
8,174902.6056685599,166457.510209405
9,129748.81530834171,191839.01013119312
10,200175.66861761702,202671.15614398016
11,190133.5834386484,221528.72502571944
12,236371.28222005974,152092.76881949746
13,164737.55495846187,175213.8034762399
