Cluster,Biden Votes Weighted,Trump Votes Weighted
0,167881.92712685722,165531.33864109163
1,273896.3246054582,179976.3984681487
2,117674.25408386695,269015.2416041166
3,147850.56968198228,230037.53733059205
4,119100.40484667219,181768.49459311782
5,275455.17286544613,140347.5824014668
6,121561.41203379112,232702.29631124766
7,151893.16560970762,203897.0485158164
8,182468.62631385963,210666.5772285268
9,223956.1941404079,195853.10012387513
10,298463.5263234918,177429.22445115386
11,163042.77445191948,170699.87861853006
12,221641.78462699772,209086.5120473565
13,219405.86328954145,191761.76966495987
