Cluster,Biden Votes Weighted,Trump Votes Weighted
0,136161.28585266194,194196.283769298
1,265840.99118994165,143626.11174221555
2,210080.5867733487,212279.81575109935
3,163969.55231109718,171194.9189135018
4,115846.63409605082,265994.8347946654
5,153523.8119988813,212176.19796194945
6,125611.35001310699,229083.5310662023
7,147698.4958601376,228770.5122609398
8,250624.5859936838,158529.38806612912
9,220751.84967804854,199715.08544786426
10,255571.99857916392,184066.20612502235
11,175684.06064711223,174963.99173848837
12,181891.1165992425,209333.01948023264
13,281035.6804075224,174843.10288239145
