Cluster,Biden Votes Weighted,Trump Votes Weighted
0,281052.04209974967,180267.55000232544
1,207749.68473546315,182574.96444490404
2,165175.03617984225,177190.4577764982
3,182265.64644397376,210265.85471534156
4,154354.61171814092,201913.35983308253
5,119409.68305246255,267414.5639688143
6,190259.802738669,220483.83947902473
7,113290.01161163634,178258.9040467539
8,270318.42389905546,181460.55173447475
9,300871.56730929646,129235.68140905378
10,159356.71867593843,158114.94830692417
11,124861.11145235032,257117.44841103442
12,199816.68998989306,201210.60815574313
13,215510.97009352825,213264.26771602483
