Cluster,Biden Votes Weighted,Trump Votes Weighted
0,187455.77089515555,211001.11163229388
1,148991.9448625687,207717.19137733922
2,252261.3429709116,189599.6110410556
3,114551.31724467335,260583.93250386004
4,186255.96183460535,185472.35786488486
5,319941.3052991589,136917.93257942522
6,233738.02934780277,181134.07302864917
7,122432.9308168465,249514.4118318818
8,180846.51840990857,207139.08542872386
9,307258.2367843985,194091.3527128414
10,197697.28801139176,174286.37395129394
11,118326.03771816527,195824.7079169641
12,161562.17100278666,205669.0992521813
13,152973.1448016262,159821.75887860544
