Cluster,Biden Votes Weighted,Trump Votes Weighted
0,163345.7624082234,170370.56458342608
1,221508.04212957236,197972.48749046572
2,116590.9864890715,266568.41001871985
3,138636.05111970124,195747.28027524712
4,146315.24610793949,228840.82898166167
5,175132.1992882544,175603.9122767878
6,214820.74860650176,209662.59997713057
7,262311.16170350544,145979.33032677296
8,182002.7523360963,209623.38874191997
9,256424.9253725045,155672.97737286033
10,123567.39087930313,229980.77931166437
11,253364.8970443901,185122.61521272294
12,277110.60060959274,175801.242091923
13,153161.23590534326,211826.5833386974
