Cluster,Biden Votes Weighted,Trump Votes Weighted
0,124467.1954295623,256395.35983261032
1,296137.5903298916,184753.25552076075
2,164386.08662594165,176690.5205105233
3,149268.28050040526,194223.02164453562
4,190987.75519735698,221098.75776049064
5,182318.55448686233,210376.423549419
6,216595.97098222424,214621.72251759493
7,119533.72681044946,267702.23486982344
8,303154.2560010728,128290.71075153201
9,118176.08389174576,169498.8176066704
10,200048.171374772,201820.74720566758
11,147592.44460595836,194010.1097663335
12,280665.2801489092,179822.547928555
13,190960.60361484767,159468.77053548332
