Cluster,Biden Votes Weighted,Trump Votes Weighted
0,150046.82105494107,228192.66449722022
1,182002.67324815842,209570.52121072152
2,252426.01154152802,157197.13617376174
3,137341.2991881554,195557.3154697153
4,253432.45114447695,184649.97731111443
5,203888.6978073082,216424.92238787372
6,163785.44009525445,170990.43751320336
7,175258.9146204004,174725.54625915887
8,114850.07095304327,266877.12565446453
9,127578.8640124323,225050.7107009222
10,218254.98109377778,199909.79928979778
11,266014.37609818374,144227.1790724236
12,153162.21908018,211492.58507802256
13,286249.18006215966,173907.07938159994
