Cluster,Biden Votes Weighted,Trump Votes Weighted
0,199909.02411539835,201412.98320335665
1,280530.372919568,179758.60608278788
2,113746.61114759976,179163.50735684144
3,160545.56058638886,159074.76100028068
4,164846.6120062328,176819.42106840044
5,182265.64644397376,210265.85471534156
6,119526.87069821898,267639.22047207627
7,153896.80880831167,201090.13523163064
8,190932.30405171425,220823.3671285431
9,216351.42748877098,214209.368310676
10,269429.7982336247,179939.84646803982
11,299976.91977721674,128747.40749645261
12,207446.83647738607,182518.01127443966
13,124887.20724559478,257310.51019113307
