Cluster,Biden Votes Weighted,Trump Votes Weighted
0,307077.730236854,194082.68587811047
1,249682.2911629954,189627.23799372086
2,161646.41661154962,205753.1096727061
3,117898.54832498118,195619.46462486632
4,187605.3139495536,210063.50703926414
5,180908.14020301952,207285.15785561944
6,149182.25143904163,208044.71562179417
7,197371.69695381806,174165.9380378099
8,120001.54124701738,251811.01266842504
9,152907.59141409292,159664.17384958582
10,186708.97498076563,185844.8600512017
11,115107.93044479164,260375.79248838566
12,320024.50029677374,136863.15566391134
13,238169.0727347454,179572.18855459886
