Cluster,Biden Votes Weighted,Trump Votes Weighted
0,168663.74707480203,166235.2595310406
1,115290.68001766402,267802.406648649
2,206013.1035765751,216207.78815038988
3,163837.21746162497,172075.67868090596
4,151761.73263435272,228278.1291957197
5,127140.27432993328,228154.24983297085
6,118698.648724464,181991.66557347684
7,151566.6429661154,203107.52289638153
8,285529.41996377346,174787.34269189776
9,182290.14754457833,210178.19191703261
10,298964.2273142867,176494.01557967433
11,274875.6020968105,140109.3694017496
12,219300.36190791088,192448.175215596
13,220360.19438710835,200903.20468451508
