Cluster,Biden Votes Weighted,Trump Votes Weighted
0,286057.81340214115,172893.51943160777
1,254070.14872527096,185091.15250711984
2,182030.8457178916,209621.2218284398
3,150382.78716073447,227818.009128841
4,163766.44325517127,170961.4595373628
5,203614.74885605494,217249.3872702866
6,265299.46968856675,143917.39836204879
7,175653.68946439482,175048.70265339295
8,153466.19124693595,212070.42505589084
9,114818.98457933447,267215.27991638833
10,217574.1744805289,199324.58596480737
11,136740.09496897308,194734.72650384784
12,128430.2444604049,225888.76159120363
13,252386.36399359634,156938.37024876225
