Cluster,Biden Votes Weighted,Trump Votes Weighted
0,148909.3345037167,207590.6575941524
1,181012.19735075784,207497.21591682156
2,249758.261984531,190370.05251679046
3,119772.96790127414,252203.24568118365
4,185439.1394368492,185019.9198058534
5,161433.12907124904,205562.1379685557
6,238631.49430854624,179099.64066034812
7,118194.89746904526,195857.9168725272
8,319158.9225503737,136071.92304820547
9,187686.82710679353,209300.3601451885
10,115346.63529111531,260915.60573152607
11,153038.83939948175,159936.4798003614
12,197660.31455997657,174381.6108088016
13,308249.0390662894,194966.2334496843
