Cluster,Biden Votes Weighted,Trump Votes Weighted
0,124600.70285326123,256742.3258755228
1,164542.54610304706,176410.6024445368
2,298304.5004703575,127638.98078045937
3,199515.77002662208,200999.92255423247
4,182382.9620728023,210505.62740077302
5,280511.61764472915,179488.53634854592
6,162280.07962409168,160827.4281713081
7,153922.0430701526,201134.77685634798
8,209917.44711954467,183191.71221518205
9,114206.44925640909,179745.2980379759
10,190785.0211675401,220411.0618930057
11,216782.58866174964,215205.0624323053
12,266901.0340114763,178590.43152057083
13,119639.23791821621,267881.23346923356
