Cluster,Biden Votes Weighted,Trump Votes Weighted
0,298040.93314437347,178858.96643291155
1,186927.3415812396,226345.07019840713
2,215876.7945618882,206924.28491789533
3,118033.9397653899,181992.58851959978
4,155700.880660039,227404.45280556366
5,113654.02428418242,266870.0647469607
6,277016.927388402,139472.55872812626
7,219464.0260547399,192568.24647969977
8,168692.0716164651,166236.18933408646
9,181958.67652295466,209427.8596523167
10,290116.55379235384,166353.47372093375
11,164693.98543372386,173865.22970204378
12,152851.05619122073,203992.90750291737
13,141264.78900302696,218461.10725853752
