Cluster,Biden Votes Weighted,Trump Votes Weighted
0,113789.79390778118,266819.74335297465
1,152857.8225823241,204083.73094054702
2,155166.59908325836,228203.5022027087
3,276292.9847807213,139428.69916765924
4,190149.33437702668,225090.13481656046
5,164354.7296810465,173332.35973922355
6,168765.71910665123,166295.51513609465
7,138905.3373435319,219771.83025070207
8,289421.2341638494,167806.02215126643
9,216668.8536505859,205602.58112535323
10,297900.06800364796,177908.12766531983
11,181949.32635739175,209411.94698675378
12,118177.89244390007,182076.71279701663
13,219892.30451828337,192942.0936678195
