Cluster,Biden Votes Weighted,Trump Votes Weighted
0,238246.2182053607,179826.27485939162
1,161646.41661154962,205753.1096727061
2,120057.59366820124,251875.41900772718
3,115015.59322462628,260121.74257397497
4,187464.08894207666,209909.6093629895
5,152907.59141409292,159664.17384958582
6,319941.2645329678,136815.28900521345
7,249787.9396621472,189727.2870942778
8,149182.25143904163,208044.71562179417
9,197371.69695381806,174165.9380378099
10,186708.97498076563,185844.8600512017
11,117897.39329672659,195618.06436180632
12,307160.9660006599,194130.55253680836
13,180904.01106796542,207275.96396471298
