Cluster,Biden Votes Weighted,Trump Votes Weighted
0,165170.56565301988,208681.5002436749
1,153035.4743785142,157906.13187208728
2,109814.79687890103,260190.06930359628
3,314610.28450188774,134597.93746381233
4,184659.73820414027,184491.36633176336
5,139842.20864086592,195363.37604864544
6,157445.77427862035,230366.20318856527
7,219082.17790692888,186561.59010096986
8,160615.1836744495,204686.42886077618
9,148978.11347832266,207672.01272161675
10,180771.6788812971,206901.06667185834
11,305287.1960558018,192976.54788191323
12,168057.66207373622,227258.3803971836
13,276921.14539351413,161120.38891353703
