Cluster,Biden Votes Weighted,Trump Votes Weighted
0,148998.9869678291,207733.3492964666
1,115218.58446015228,260761.98384455286
2,250336.37510824442,189062.7947618077
3,320381.15458728047,136759.68993750383
4,186443.80826425593,185769.03230503784
5,161394.18983893003,205521.1310376259
6,306582.22602560424,194005.96341905528
7,180854.93713699596,207185.47129641977
8,188009.55587506414,209606.58657253216
9,197525.53814816085,174331.53595182006
10,118226.06670307349,196667.82125167764
11,118651.96345402714,250290.62392814332
12,152935.45205633529,159731.7990725829
13,238733.16137404638,181345.21732477398
