Cluster,Biden Votes Weighted,Trump Votes Weighted
0,110003.10807482062,258529.16946849113
1,312770.05060995865,134415.9410050084
2,161711.47988878223,206000.77194955607
3,150518.33474003006,210121.20005385714
4,186877.9075233513,186183.7586474146
5,279285.2298439476,159581.67436160633
6,304833.4023340821,194106.28358474505
7,215912.91045860952,187165.47227516313
8,156686.3718699367,160133.53995043586
9,171049.5924150914,224124.96813102346
10,159301.65927399183,209337.34040952794
11,179821.23099404122,204973.38074611578
12,146156.92892733717,199645.77042098422
13,149363.7930460193,224453.72899607068
