Cluster,Biden Votes Weighted,Trump Votes Weighted
0,273565.1250808247,179499.44855663378
1,116708.31690886506,179947.72671517645
2,296939.4892594637,176060.11154251534
3,147815.3673201494,230100.92299524118
4,182461.13423449264,210649.5060540311
5,223972.66152379356,195928.11698912765
6,151266.69963186415,202804.67178042268
7,275268.1088241879,140303.01261356613
8,117596.80337629638,268783.7197568066
9,220579.94033729643,192794.8266274693
10,163507.1634063893,171442.8893286177
11,171265.42318966636,168528.17303541634
12,121796.73555205626,232895.5780912031
13,221549.03135465388,209034.29591377242
