Cluster,Biden Votes Weighted,Trump Votes Weighted
0,125993.40468702969,229551.91926306242
1,181867.51216447007,209272.89328762153
2,115520.77812687431,266605.5635660158
3,150640.18935682566,228599.80774667818
4,170100.4348342104,167480.1400245906
5,163946.71603213478,172363.20475172513
6,208016.35718049662,214139.08414868615
7,298277.4256133033,177599.53565099582
8,220264.51838091365,192812.7679032552
9,275909.0388583843,140475.3487057406
10,116924.94251198432,180365.67018227352
11,283649.19532680785,175717.51366626713
12,221435.26942243124,200612.06575395813
13,151746.2175041335,203177.4853491296
