Cluster,Biden Votes Weighted,Trump Votes Weighted
0,180930.7750838478,207332.8446087372
1,306942.3954392085,193873.48175896442
2,187405.7285674162,209738.5314095804
3,320249.5356020778,137047.23863626248
4,115097.77138738656,260355.58761061815
5,152981.50419165308,159812.08892950197
6,148879.80205003617,207536.5258045681
7,249904.5990449648,189970.5722880873
8,238313.4709249448,179640.62882167625
9,118121.33036732311,195838.42588462276
10,197261.17537157336,174005.07666874383
11,186663.33882898788,185940.49544998253
12,161728.04446445874,206002.04508042856
13,119812.52867612088,251679.4570482258
