Cluster,Biden Votes Weighted,Trump Votes Weighted
0,216384.94116857825,214156.18511111633
1,161164.71714651296,159707.3920246055
2,182265.64644397376,210265.85471534156
3,208049.62866173196,182854.45588962606
4,191092.99446947,221239.69423276314
5,124814.29411693882,256968.84366922601
6,164818.48906852925,176773.50962944122
7,268456.06840542617,179266.1934539764
8,199911.57101730703,201392.62722463376
9,299752.2627512959,128499.19476045574
10,280449.49230993947,179780.354819885
11,113853.54002286012,179337.78967552178
12,153748.94982183553,200857.17262107157
13,119529.40459560047,267673.7321723357
