Cluster,Biden Votes Weighted,Trump Votes Weighted
0,127802.8446764886,180589.61245254765
1,155738.4078533041,228576.03471906172
2,182235.43478734806,210058.72379705866
3,153481.69408576805,198710.76735224974
4,193097.66080162497,224603.03254906018
5,136421.42182190667,221628.16938036904
6,290110.13476711436,170081.5103527917
7,319232.5356833984,180981.67428655946
8,114345.90176619725,267980.46677220473
9,217885.14815543804,204951.9779018364
10,163983.56107499168,173307.4411880803
11,200007.8923563733,155362.1369475146
12,146395.00747193783,202341.66859267405
13,283554.35469810833,139599.78370799165
