Cluster,Biden Votes Weighted,Trump Votes Weighted
0,267544.8622609798,179430.66611933665
1,119620.49347786947,267838.87928368314
2,216194.44356051946,214475.75408798148
3,164519.7474828502,176398.02588807946
4,162862.81891035885,161385.38531792955
5,281077.007001877,179870.90619229834
6,199543.58493717146,201161.21312110792
7,154025.45018214313,201238.62844709482
8,190467.5088345524,219927.79352448124
9,114577.97914624054,180178.4882939714
10,182388.9796569338,210521.2012205581
11,297278.7382217843,127042.0552532699
12,124469.04361046312,256902.61523490128
13,209721.34271625621,182401.38801530655
