Cluster,Biden Votes Weighted,Trump Votes Weighted
0,148913.3392878192,207579.70284851885
1,119574.80766922365,251772.34774255104
2,180886.73039938897,207244.36402307634
3,188076.20592153547,209329.77709117494
4,306961.0512773971,194324.06830130552
5,115132.03835489307,260514.98851464546
6,197412.68847109628,174278.2181860267
7,161513.8134145901,205692.48820122893
8,250456.2204841497,189034.14564643236
9,117842.77176459043,196310.99004610206
10,320420.5186036664,136715.88072458946
11,237898.5781555255,180530.61584535398
12,186134.10345734065,185515.0796774184
13,153069.13273878308,159930.3331515758
