Cluster,Biden Votes Weighted,Trump Votes Weighted
0,164786.21628483068,176735.20986292258
1,119539.99379548855,267708.5277474001
2,280447.1195697249,179779.23021455744
3,153802.49785104502,200931.32227398176
4,298793.4581172122,127928.80204770248
5,199899.9506363235,201406.5232807745
6,182269.61547134636,210276.66950027112
7,113922.6037461357,179427.4659279593
8,161454.84660893417,159996.24179373082
9,268923.9893406723,179612.34717978435
10,216456.6446655448,214230.3308524526
11,190954.79011795358,220886.69778863512
12,208214.60856700529,182728.16073258614
13,124825.66522778252,257125.47079724152
