Cluster,Biden Votes Weighted,Trump Votes Weighted
0,274236.5205636813,178574.47003911043
1,275782.0482068673,140408.8174588305
2,148547.92447128007,229814.1524196366
3,163971.63078195494,172218.07633038657
4,117350.69065503053,268410.4098155174
5,298331.59500639304,177752.8210998254
6,122236.4337097933,232105.65890464274
7,219941.56884833332,209476.91915131715
8,223075.7245424274,196483.8461197651
9,118015.47081293946,181277.76385753558
10,182453.32003366222,210621.236717621
11,169096.26007033218,166631.33945081386
12,219941.48805893326,192292.29044872563
13,151311.32423837134,202705.19818627177
