Cluster,Biden Votes Weighted,Trump Votes Weighted
0,125834.6900323778,229821.85235493112
1,182111.6312900087,209780.61247964195
2,170209.0442890064,167607.07213163227
3,221431.93323333273,200234.73188870348
4,275658.15649008215,140175.135743143
5,209498.53023034398,214251.48696965922
6,115907.34734521709,267631.3427066618
7,297024.7840973595,176746.17722358496
8,150880.20424236113,229021.06072230445
9,117382.75505891761,180684.45282608422
10,220663.41855307674,192676.80214183617
11,163540.76871051078,171616.81938454972
12,151438.98784912843,202974.24394526717
13,282709.7485782766,175551.20948200033
