Cluster,Biden Votes Weighted,Trump Votes Weighted
0,155611.03977452856,228279.5488251412
1,181819.66190354698,209148.56083124946
2,289956.6628902929,167507.27785256502
3,219802.56253241352,192715.47686734764
4,139802.57706511152,218809.0966182422
5,297893.6574673498,178061.8297745266
6,169113.01252718066,166626.60427398988
7,276282.7254657956,139563.87485547134
8,188409.21763691565,225039.4417984147
9,152428.01735773523,203553.07465637432
10,118253.8829556894,182156.973781932
11,216039.29103128854,205956.41581155313
12,114038.60853409074,267427.48537523695
13,164841.08285806054,173927.3386779554
