Cluster,Biden Votes Weighted,Trump Votes Weighted
0,307214.4183933391,194026.04528153344
1,153038.97597197586,159903.07638067115
2,180908.14020301952,207285.15785561944
3,148868.09973280603,207517.9457347802
4,120041.4255453631,251895.39066493377
5,197268.15707012927,174024.50128598706
6,249650.90050648688,189681.10401672986
7,186642.32426970144,185916.47695575378
8,115219.30963446628,260663.8302357499
9,238258.94003926186,179488.81341588657
10,161728.04446445874,206002.04508042856
11,187410.1807359655,209755.0415373901
12,320032.71846426587,136935.3959507628
13,118010.36496876024,195678.17560377318
