Cluster,Biden Votes Weighted,Trump Votes Weighted
0,175557.89810402482,175010.27678172523
1,150129.73287153547,227657.76411098088
2,153322.99259397076,211793.06851858032
3,217821.23098915722,199493.92361259123
4,265299.7509694118,144046.62095031288
5,128448.01642571877,225994.1645209053
6,203774.15231884187,217151.37367180572
7,163780.87976793078,170986.49007669758
8,285804.6949531665,172777.63653579893
9,253530.9316988708,184703.51171487317
10,252998.76471293578,157298.38341240003
11,182024.8611685797,209605.38197274882
12,114819.14374892371,267154.6307461608
13,136978.94967693175,195099.77337441893
