Cluster,Biden Votes Weighted,Trump Votes Weighted
0,318322.56686954154,180944.00876395125
1,182263.64121243006,210128.76098182116
2,163942.23087182784,173253.71288785082
3,146381.48241067413,202308.38774216556
4,284863.23049476306,139780.28159298952
5,153168.67152928424,198404.70397858348
6,136150.9432442916,221928.31051655568
7,114358.88135268143,267974.9837871025
8,193295.59163801125,224579.75113871082
9,199633.52638664577,155118.25402550917
10,290453.5516171125,170298.13686266585
11,218101.34667170758,204946.63482564653
12,155846.61583307726,228853.4629231214
13,127509.71986795148,180253.6099733261
