Cluster,Biden Votes Weighted,Trump Votes Weighted
0,136478.73222372952,194413.2291791046
1,272633.53228874586,179201.75595667816
2,117304.9164406127,267280.6191845653
3,175576.89852309745,174934.29129786656
4,145921.5943116388,229952.36371959577
5,222216.81635163378,195026.6279734139
6,221716.769928989,207691.32913741874
7,153539.5695329255,212223.9687826632
8,250694.48069567137,156615.87485120393
9,255206.49276357127,185494.04594057504
10,163593.01567198758,170550.4195519098
11,121327.70562191097,231664.67215370384
12,182178.1788248679,210017.7632249865
13,265903.2968206179,143706.03904631446
