Cluster,Biden Votes Weighted,Trump Votes Weighted
0,160429.03485168118,204585.34186044752
1,180717.32921449456,206783.92267857026
2,219396.26691406718,188249.7944603997
3,152924.29687977047,157313.83109828903
4,110209.2745125283,260627.22945447883
5,313112.63590493967,133648.18396770515
6,169886.3579955575,226865.39137071552
7,149011.03256067212,207722.3250456013
8,304465.0630852537,192649.15221368754
9,278883.21856687625,160628.1744415118
10,184474.9601830219,184724.55706102223
11,162525.2754007662,210405.2712840532
12,141960.9543477709,194285.00512411646
13,156296.2995825997,230284.81993940132
