Cluster,Biden Votes Weighted,Trump Votes Weighted
0,250779.68361694814,189228.30786035454
1,197749.73288353003,174457.48270934605
2,180886.73039938897,207244.36402307634
3,161428.9605634361,205559.39811393947
4,119572.04169116984,251748.6488602211
5,308081.7795098004,194960.050894214
6,148975.61272165307,207697.95205663712
7,186298.09523941527,185598.1784169503
8,153084.66517552207,159954.8177263827
9,187615.73114228132,209089.43870421886
10,237514.44365072067,180198.21854855624
11,115147.79529874139,260527.66586144434
12,319194.74020503304,136103.5470778797
13,117961.98790235931,196404.9291467791
