Cluster,Biden Votes Weighted,Trump Votes Weighted
0,268968.5509248547,179697.47656785115
1,113785.09696706319,179216.199329274
2,280565.0658353994,179838.94077135733
3,160857.93624983888,159419.70183768173
4,182271.74173601024,210282.4631350548
5,207787.7441114306,182636.79441020824
6,190848.01782690024,220679.73012100675
7,119530.24151162276,267671.2843224229
8,216529.2147369079,214391.95133964324
9,153881.2411855301,201057.55674560883
10,124655.1828769329,256979.98394602546
11,299815.7816668023,128570.16798112873
12,164823.80205547484,176795.1095606243
13,199972.38231523166,201535.63993211236
