Cluster,Biden Votes Weighted,Trump Votes Weighted
0,207483.09047241957,182150.1599630829
1,280368.3539550732,179943.5030100835
2,300918.55693591887,129291.63551570261
3,165158.35980289045,177160.95828433605
4,216169.02793044454,213547.41109887016
5,270457.4886133486,181750.03981053617
6,182264.7959381082,210263.53726142808
7,190257.6029040301,220476.89313728787
8,199769.3520964765,201154.45377018763
9,159471.2706687559,158230.44729957226
10,119413.09270159442,267422.5187304919
11,113310.91481692088,178290.73123845764
12,124873.34189691445,257145.608576922
13,154376.75126710394,201945.10230304097
