Cluster,Biden Votes Weighted,Trump Votes Weighted
0,207691.08940923327,182486.1868851501
1,119409.68305246255,267414.5639688143
2,154346.333323396,201900.33554898112
3,159457.6901611078,158214.82935766107
4,216287.97449517788,213665.78590989352
5,300777.69458931393,129180.20602372351
6,182265.64644397376,210265.85471534156
7,113313.56682083095,178295.4712189073
8,190270.310718776,220522.11845329835
9,199806.1820097861,201172.32918146954
10,165174.20914791845,177189.14095660122
11,280300.22241462703,179911.21077139207
12,270355.4706775726,181482.69756066706
13,124835.92673582336,257072.2694480991
