Cluster,Biden Votes Weighted,Trump Votes Weighted
0,298000.6870835684,178931.3489039352
1,155890.3785988997,227343.3565862904
2,182017.46266188976,209563.1795806911
3,152951.1442143172,204068.47467317444
4,215975.0143854369,207362.7337147749
5,290902.16594936553,166776.32100428926
6,168969.34956760833,166458.36991262328
7,113582.59399512256,266735.5687206237
8,117527.85991978795,181533.55958301187
9,164707.16052775813,173950.50416494586
10,186316.4680287324,226362.25441511362
11,141064.65814091865,217905.60140871402
12,219202.77445959908,192492.4461970201
13,277184.28246699506,139289.28113479208
