Cluster,Biden Votes Weighted,Trump Votes Weighted
0,215651.3567047117,211219.82734533754
1,171250.80671886643,168543.20043906267
2,163908.15600626697,172073.50980945423
3,274438.75375111325,140984.27380418318
4,277607.42087972263,176611.74942034023
5,117025.26775364274,268440.92217778467
6,148805.21257443485,229504.89112391524
7,220226.7205391315,192924.96778119297
8,151293.5288541009,202786.79487323252
9,182310.1298168797,210297.86183454952
10,222555.12169987676,198328.29161153085
11,123903.06166711824,231343.42187659352
12,298821.74019038817,175920.30249520155
13,116494.72284374581,179792.9854076211
