Cluster,Biden Votes Weighted,Trump Votes Weighted
0,151164.83483017195,202632.99341537873
1,182467.24157642067,210662.7373440401
2,297495.43812415976,175589.72250925805
3,223897.30900068753,195976.79551199405
4,117281.36277156378,180542.57917035487
5,274962.9758304209,140535.6508143028
6,121856.67148803618,232810.42730661688
7,273538.1204361972,179449.52142481846
8,147776.81332690796,230095.5660730102
9,220327.0530016728,192821.49761642597
10,117590.69603436835,268770.48846679763
11,170584.82011056624,167924.85921543886
12,163803.11861928235,171925.4293152544
13,221545.54484954395,209034.7318163088
