Cluster,Biden Votes Weighted,Trump Votes Weighted
0,280571.2867708896,179651.50997391134
1,216261.7070742988,214519.97182339296
2,207597.49949708034,182912.93846992988
3,153944.9484916589,201156.3980280004
4,124907.405714856,256873.62376353386
5,113574.33264976226,178922.12585136527
6,299855.38900756824,128901.66508376141
7,160278.01386781165,158759.8381772224
8,199910.24421254417,201427.603424843
9,164722.8138887692,176645.56987986647
10,191104.23703804068,221287.10619255895
11,269773.56319315155,179851.8513321517
12,182264.7959381082,210263.53726142808
13,119525.76265546009,267599.2607380341
