Cluster,Biden Votes Weighted,Trump Votes Weighted
0,117619.53145600669,269155.27750746964
1,163551.61820892492,171556.9005352699
2,219019.99197379724,191879.86108628803
3,182488.66500119938,210707.74052702772
4,122122.821935897,231738.15639657245
5,274384.19633968925,178991.3915069613
6,151298.67710352046,202839.12728647797
7,274696.6173023424,140186.34586231914
8,223182.79932372185,196542.45942067436
9,167738.10583776227,165391.99945742261
10,220604.44365174638,210056.17474850197
11,148620.05130662478,230096.37613129427
12,119739.45533136718,182715.45673694753
13,299225.0252273999,176915.73279677282
