Cluster,Biden Votes Weighted,Trump Votes Weighted
0,186792.1921963331,185940.55093661405
1,238284.18204879342,179844.26854463262
2,180908.14020301952,207285.15785561944
3,117912.82726354203,195627.67606004042
4,307053.1133773221,194057.49642458165
5,197364.3355194369,174154.47281029882
6,249682.2911629954,189627.23799372086
7,115037.14726796513,260188.5483773943
8,120089.51856568156,251851.90319083564
9,187473.0104936679,209937.78063781117
10,161647.1486651646,205810.51236243034
11,152904.89182466667,159659.8980582454
12,320031.86173115484,136874.6208914224
13,149111.3396802565,207912.8758563527
