Cluster,Biden Votes Weighted,Trump Votes Weighted
0,274164.4770142678,179207.55027717428
1,297119.5200787083,176690.89651661736
2,170221.99011292166,167626.38498224714
3,150896.6376231595,202443.3836674651
4,117614.23829928706,269004.4146556646
5,163694.5191101354,171588.2373811007
6,223315.48413571043,195672.99452209123
7,122259.10817980328,232890.36285172246
8,220397.818135533,192373.65423552302
9,117262.99642666918,180238.50071752997
10,221037.6799297168,209960.56679967002
11,182394.9572371202,210476.38113422866
12,275545.59435554245,140326.14050214074
13,148366.97936142457,230273.53175682458
