Cluster,Biden Votes Weighted,Trump Votes Weighted
0,190999.87308964782,220987.07194842084
1,298477.68635645864,127656.17249969159
2,269109.61554196326,179719.09583704788
3,124890.9188688592,257245.81019241124
4,182264.7959381082,210263.53726142808
5,161196.8554698614,159749.97097332295
6,153776.18226699898,200893.17070528684
7,215851.06157559567,213892.0113429663
8,113917.66150508795,179422.57245155977
9,119463.76292979321,267553.39944347495
10,199865.7531204856,201314.75849373575
11,281065.97893288947,180160.5714502605
12,164815.83125157966,176779.71965073352
13,208596.02315267062,183135.13774965963
