Cluster,Biden Votes Weighted,Trump Votes Weighted
0,120614.44857064489,273844.2271396858
1,183474.77646298212,213054.46891778402
2,222338.79066564824,194317.4751876666
3,256359.44678042806,183436.60033377568
4,261535.53012173137,178081.9940286988
5,175472.2379517287,175388.76171130053
6,163319.4671453295,170190.14781933298
7,126557.99926666547,228279.10078056678
8,145870.80289915024,231691.35860417905
9,152955.23553431177,211243.9999446867
10,264137.47978306806,143879.52412323403
11,222733.03464564454,201344.17115207895
12,137354.35722135138,195412.02861479582
13,251568.39295131539,158609.14164221406
