Cluster,Biden Votes Weighted,Trump Votes Weighted
0,273064.32956750004,178979.9553987535
1,136255.5550353829,193947.67898908223
2,222067.42420217887,195392.31310391953
3,175645.0250396897,175237.8672367124
4,182231.39143514878,210145.3146777878
5,121480.04861056343,231355.92350467358
6,254694.63179207194,182958.95681313105
7,146110.6265625377,229654.41488756883
8,221269.6257119315,208088.23168710986
9,153777.60052530066,212676.81649987062
10,163662.47338687908,170679.37606346756
11,265781.9182691092,143127.22723718747
12,117340.70891712219,267643.20616050664
13,250910.64094458366,158885.7177402288
