Cluster,Biden Votes Weighted,Trump Votes Weighted
0,284817.46444288176,175097.12748845393
1,151527.43343962956,203187.91454437285
2,220281.3323618212,200224.2202151361
3,115776.38024582532,268719.3332094606
4,182316.04243129952,210236.47553340605
5,299483.1724812537,177837.83662051862
6,118397.76614474511,181370.73581969112
7,167799.8660591104,165466.09664009334
8,126724.9507571322,228578.78636814532
9,207033.8674936467,215699.23776719676
10,275800.01435691724,140176.54424499764
11,151827.10812533234,228294.54641839856
12,218828.53243376437,192056.25437521734
13,163678.0692266402,171827.8907549116
