Cluster,Biden Votes Weighted,Trump Votes Weighted
0,138762.87763395256,196732.00067309578
1,265005.0885400548,143778.09434618574
2,117344.51925371168,267683.8647043266
3,253277.11448736503,184438.6425931874
4,221289.84123342697,208126.5289959694
5,163582.7551591521,170557.70900271944
6,152693.76080600492,210802.05516333645
7,121512.55956827852,231380.04355610334
8,273035.7567825275,178940.396596327
9,253200.3977579825,157139.08114975778
10,174211.60713341675,174071.6966423724
11,222001.58439419998,195344.91912078566
12,182231.39143514878,210145.3146777878
13,146142.7458147776,229632.65277804507
